Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
67.5,4.5,,5,5,2.0,4.0,3.0,2,2,9.5
61.0,,,5,5,,1.0,1.0,0,0,1.75
42.0,,6.0,5,5,2.0,2.0,2.0,0,0,2.85
110.0,4.5,3.0,4,4,2.0,4.0,3.0,0,2,3.9
48.0,,,5,5,,5.0,,2,2,5.7
80.0,8.0,8.0,5,5,2.0,4.0,4.0,0,2,7.9
100.0,,,5,5,2.0,,,1,0,9.8
75.0,,,5,5,,5.0,,2,2,4.5
75.0,5.0,6.0,5,5,2.0,3.0,3.0,0,1,5.6
50.0,4.0,5.0,5,5,2.0,2.0,2.0,0,1,3.95
52.0,3.8,,5,5,1.0,1.0,1.0,0,2,2.45
37.0,,,5,5,,,,0,2,6.5
108.8,5.44,13.0,5,5,3.0,4.0,5.0,0,1,8.9
67.0,5.0,12.0,5,5,2.0,2.0,2.0,0,1,1.6
60.0,4.0,6.0,5,5,3.0,3.0,3.0,0,1,5.98
64.0,4.0,6.0,5,5,2.0,2.0,2.0,0,1,6.4
24.0,3.5,,5,5,4.0,3.0,4.0,0,1,3.79
47.0,,,5,5,2.0,2.0,2.0,0,1,4.2
43.0,4.0,,5,5,2.0,2.0,2.0,0,1,4.1
45.8,4.5,4.0,5,5,3.0,3.0,3.0,0,1,4.3
39.0,4.0,3.0,3,5,2.0,2.0,2.0,0,2,4.9
37.0,,,5,5,5.0,4.0,4.0,2,2,5.8
122.41,4.71,4.0,5,5,,,,0,2,9.5
47.0,5.2,25.0,5,5,5.0,5.0,4.0,0,1,5.25
58.0,,,5,5,4.0,4.0,5.0,2,2,7.4
61.0,4.2,2.5,7,7,4.0,3.0,2.0,0,1,7.6
33.0,4.8,,5,5,3.0,,,2,2,4.15
69.9,,,5,5,1.0,3.0,,2,2,6.6
105.0,,,5,5,,4.0,4.0,0,1,9.15
7.5,,,5,5,3.0,2.0,2.0,0,1,2.29
519.0,12.0,9.0,5,5,,6.0,4.0,0,1,8.5
64.0,4.0,8.0,2,2,2.0,2.0,2.0,0,2,6.48
30.0,,,5,5,5.0,4.0,4.0,0,0,3.15
134.0,8.0,10.0,5,5,2.0,3.0,2.0,0,2,9.3
35.0,4.0,6.0,5,5,5.0,3.0,3.0,0,0,4.15
34.0,,,5,5,,,,0,1,7.0
90.0,5.0,13.0,4,5,3.0,4.0,3.0,0,1,7.7
62.5,5.0,10.0,3,5,,,,0,0,6.6
78.75,4.5,7.0,8,8,4.0,4.0,3.0,0,2,4.3
38.0,4.0,3.5,5,5,2.0,2.0,2.0,0,0,4.39
30.0,3.3,,5,5,,2.0,3.0,0,0,4.95
32.5,,,5,5,2.0,2.0,2.0,0,0,4.1
57.0,2.8,,5,5,3.0,3.0,,0,1,5.95
24.0,,4.0,6,6,2.0,2.0,2.0,0,1,2.68
27.0,,,5,5,1.0,2.0,2.0,0,2,3.3
30.0,4.4,7.0,0,0,6.0,6.0,6.0,0,1,7.9
60.0,5.0,,5,5,2.0,3.0,3.0,2,2,5.95
36.0,4.6,,5,5,5.0,4.0,4.0,0,1,5.38
50.0,,,5,5,2.0,2.0,2.0,0,0,4.5
34.0,3.4,2.5,6,6,4.0,3.0,3.0,0,1,5.33
50.0,4.5,,5,5,,6.0,6.0,0,2,6.5
40.0,4.0,4.0,5,5,5.0,7.0,5.0,0,1,6.5
56.0,4.0,8.0,3,3,3.0,3.0,3.0,0,1,8.5
177.7,,,4,5,2.0,2.0,2.0,0,1,8.0
30.0,3.68,4.0,2,2,5.0,3.0,4.0,0,0,4.35
38.0,,,5,5,5.0,,,0,1,7.2
48.0,4.0,10.0,7,5,4.0,4.0,3.0,0,1,3.55
125.0,5.0,8.0,5,5,,1.0,1.0,2,2,6.6
48.3,4.1,10.0,1,5,4.0,4.0,3.0,0,0,3.1
71.8,6.0,3.0,8,5,1.0,1.0,1.0,0,0,4.5
79.0,4.5,5.5,8,5,3.0,3.0,,0,2,6.6
50.0,,,5,5,2.0,2.0,2.0,0,2,4.5
67.0,,,5,5,2.0,4.0,2.0,0,1,4.5
75.0,,,5,5,3.0,3.0,4.0,2,2,5.7
62.5,,,5,5,4.0,4.0,3.0,0,0,7.1
90.0,5.0,,6,5,,2.0,2.0,2,2,4.4
80.0,5.0,20.0,5,5,3.0,4.0,5.0,0,2,2.9
32.5,,,5,5,5.0,,,0,2,4.95
25.0,5.5,,5,5,5.0,,,0,0,7.2
41.0,41.2,,5,5,4.0,4.0,,0,2,6.4
38.7,,15.0,8,8,,,,0,2,1.55
105.7,8.0,15.0,8,8,3.0,,,0,2,8.35
32.0,3.5,2.5,4,4,5.0,3.0,4.0,0,0,5.25
43.0,4.0,3.0,5,5,3.0,4.0,2.0,0,1,3.4
35.0,,25.0,5,5,4.0,3.0,3.0,0,1,6.15
53.2,5.0,6.0,5,5,4.0,4.0,5.0,0,1,2.5
64.0,4.05,,5,5,4.0,4.0,5.0,0,2,8.5
55.0,,,5,5,5.0,,,2,2,6.7
156.0,7.0,5.0,7,5,1.0,2.0,1.0,0,1,3.4
115.0,8.0,,6,6,4.0,7.0,7.0,0,1,7.6
56.0,,3.0,5,5,,2.0,1.0,0,0,5.6
65.0,5.0,8.0,5,5,3.0,3.0,3.0,0,2,6.8
30.0,,3.0,8,8,5.0,3.0,4.0,0,0,4.0
66.3,4.6,5.0,5,5,5.0,8.0,8.0,0,1,8.5
82.0,3.5,6.0,4,5,3.0,3.0,3.0,0,0,5.8
67.0,4.0,6.0,5,5,4.0,4.0,,0,0,5.9
46.3,4.3,,5,5,4.0,4.0,3.0,0,2,5.15
33.0,,,8,5,3.0,3.0,3.0,0,0,2.5
48.0,4.0,3.0,6,6,4.0,3.0,3.0,0,1,7.85
30.0,4.0,6.0,5,5,3.0,2.0,,0,2,5.0
225.0,15.0,,4,7,2.0,2.0,,2,2,6.5
48.0,,8.0,5,5,3.0,,,0,2,8.9
90.0,5.0,4.0,5,5,3.0,4.0,,0,2,9.2
47.0,5.0,,5,5,4.0,4.0,4.0,0,2,9.5
112.5,5.0,7.5,4,5,3.0,4.0,4.0,0,1,6.5
120.0,6.0,,5,5,2.0,,,2,2,2.37
141.6,,22.0,5,5,4.0,5.0,6.0,0,0,7.5
100.0,5.0,7.5,4,5,3.0,3.0,4.0,0,1,6.2
35.0,,,5,5,5.0,,,0,0,6.5
35.0,3.3,2.5,7,7,4.0,4.0,3.0,0,1,4.79
120.0,,,5,5,2.0,4.0,3.0,2,2,2.6
103.8,4.9,,8,5,,,,2,2,5.0
205.0,10.0,,5,5,,,,0,2,1.2
33.0,5.0,4.0,5,5,5.0,3.0,3.0,0,1,5.18
100.0,5.0,,5,5,2.0,4.0,3.0,2,2,2.2
24.5,3.0,,8,5,,,,0,2,4.25
39.0,4.0,3.0,5,5,5.0,6.0,7.0,0,1,6.1
74.5,,5.0,5,5,2.0,2.0,2.0,0,2,2.9
77.5,,3.0,5,5,,,,0,0,4.65
100.0,5.0,7.5,7,5,3.0,3.0,3.0,0,2,5.0
36.0,,5.0,5,5,3.0,4.0,5.0,0,2,7.95
52.4,,,5,5,,2.0,1.0,0,2,3.7
57.0,4.6,4.0,5,5,2.0,2.0,2.0,0,1,4.7
66.0,4.0,12.0,5,5,4.0,4.0,,0,2,7.3
100.0,5.0,5.5,4,4,3.0,3.0,2.0,0,1,6.0
32.0,,,5,5,,,,2,2,5.0
115.0,,6.0,5,5,4.0,,,2,1,7.8
110.0,5.0,15.0,0,0,3.0,4.0,5.0,0,2,5.73
32.0,3.5,3.5,5,5,5.0,4.0,5.0,0,2,4.3
35.0,4.0,6.0,5,5,2.0,2.0,,0,0,4.0
39.0,,,5,5,5.0,4.0,,0,2,5.8
60.0,4.2,,5,5,3.0,4.0,4.0,0,2,6.9
54.6,,3.0,5,5,4.0,4.0,4.0,0,2,6.8
40.0,5.0,3.0,8,8,6.0,7.0,5.0,0,1,7.8
55.0,,2.8,5,5,6.0,8.0,9.0,0,1,8.8
40.0,3.5,,5,5,5.0,3.0,4.0,0,1,8.0
39.0,4.5,3.0,5,5,4.0,5.0,5.0,0,1,6.9
83.9,5.0,,5,5,4.0,4.0,4.0,2,2,4.4
51.0,,,5,5,3.0,3.0,3.0,0,1,4.1
282.7,11.0,50.0,0,0,1.0,4.0,2.0,0,0,9.5
40.0,4.0,3.0,5,5,5.0,5.0,4.0,0,1,6.0
65.0,7.0,4.0,5,5,2.0,2.0,2.0,2,2,9.9
100.0,5.0,4.0,6,6,1.0,3.0,2.0,0,0,3.7
90.0,4.5,3.5,5,5,2.0,2.0,,2,2,3.3
20.0,,2.0,3,2,3.0,2.0,3.0,0,0,3.15
95.0,5.0,30.0,1,1,4.0,4.0,3.0,2,2,5.0
68.0,,,5,5,1.0,1.0,1.0,2,2,7.0
42.0,3.3,2.5,8,8,4.0,4.0,4.0,0,1,4.55
100.0,6.0,10.0,7,5,1.0,2.0,1.0,0,1,1.49
45.0,7.0,14.5,8,8,1.0,1.0,1.0,0,2,2.0
45.0,4.0,,5,5,3.0,4.0,3.0,2,2,6.65
50.0,,,5,5,,,,2,2,4.15
129.4,5.0,10.0,1,5,,3.0,1.0,0,2,2.25
62.0,5.0,6.0,5,5,2.0,3.0,2.0,0,0,4.2
30.0,,20.0,7,7,3.0,4.0,3.0,0,0,7.9
81.0,6.0,10.0,5,5,3.0,4.0,5.0,0,1,9.9
84.0,5.0,8.0,5,5,4.0,4.0,6.0,0,1,9.5
66.0,5.4,3.0,5,5,1.0,2.0,2.0,0,1,3.75
43.0,6.0,6.0,5,5,3.0,3.0,3.0,0,1,6.25
44.0,4.0,5.0,5,5,4.0,4.0,4.0,0,0,5.8
84.0,4.0,6.0,5,5,2.0,3.0,2.0,0,0,4.9
64.0,4.0,13.0,7,5,3.0,3.0,4.0,0,0,3.5
65.0,5.0,13.0,7,4,5.0,5.0,4.0,1,2,7.0
44.0,4.7,,5,5,5.0,,,0,0,5.5
115.0,,6.0,6,6,2.0,3.0,3.0,0,0,7.0
48.0,4.0,4.0,5,5,3.0,4.0,3.0,0,0,4.85
40.0,4.0,4.0,5,5,2.0,2.0,2.0,0,0,3.68
74.0,,7.0,4,4,4.0,4.0,4.0,0,1,6.5
72.0,4.4,,1,5,3.0,4.0,3.0,0,2,6.0
70.0,,7.0,5,5,3.0,4.0,3.0,2,2,7.9
56.0,4.0,,8,5,3.0,4.0,3.0,0,2,5.9
54.4,,6.0,8,5,3.0,3.0,4.0,0,2,4.7
50.0,,,7,5,3.0,3.0,3.0,0,1,5.3
70.0,9.0,9.0,5,5,,4.0,5.0,0,1,9.4
80.0,5.0,7.5,8,3,4.0,5.0,6.0,0,2,7.6
200.0,10.0,,5,5,3.0,5.0,6.0,0,1,10.0
52.3,,6.0,6,5,3.0,3.0,3.0,0,2,4.5
80.0,4.0,3.0,3,5,2.0,2.0,2.0,0,2,4.68
50.0,,,5,5,6.0,4.0,4.0,0,1,5.2
72.0,4.0,8.0,5,5,1.0,3.0,2.0,0,0,6.5
23.0,,,6,5,2.0,2.0,2.0,0,1,2.98
35.0,4.0,6.0,5,5,5.0,3.0,4.0,0,1,5.7
61.4,6.2,3.0,7,4,3.0,8.0,8.0,0,2,9.6
30.0,4.0,8.0,2,5,1.0,2.0,2.0,2,0,2.35
36.0,,,5,5,2.0,2.0,2.0,0,2,2.7
35.0,4.0,4.0,5,5,3.0,4.0,3.0,0,1,4.5
40.0,4.0,4.5,5,5,6.0,4.0,4.0,0,1,8.7
320.0,10.0,32.0,1,1,1.0,4.0,4.0,0,1,5.8
77.0,4.0,16.0,6,6,4.0,4.0,4.0,0,1,7.75
53.0,,,5,5,2.0,,,2,2,6.5
100.0,5.0,15.0,5,5,3.0,4.0,4.0,0,1,5.2
190.0,5.0,5.0,5,5,1.0,5.0,5.0,0,2,9.5
92.0,5.0,16.0,5,5,2.0,3.0,3.0,0,1,5.6
157.0,6.0,20.0,4,4,2.0,2.0,1.0,0,0,4.2
31.0,,,5,5,6.0,4.0,5.0,0,2,5.88
42.0,,,5,5,4.0,4.0,3.0,0,1,8.1
62.0,6.0,6.0,5,5,2.0,2.0,2.0,0,0,5.15
60.0,6.0,6.0,5,5,2.0,2.0,2.0,0,0,5.1
43.0,,,5,5,4.0,4.0,3.0,0,1,8.65
40.0,,4.0,5,5,2.0,2.0,2.0,2,2,1.85
56.0,,,5,5,4.0,5.0,4.0,0,0,8.8
75.0,5.0,7.0,7,7,5.0,5.0,5.0,0,2,8.8
75.0,5.0,20.0,7,7,4.0,5.0,6.0,0,1,9.3
96.0,55.0,20.0,3,3,4.0,5.0,6.0,0,1,8.3
52.0,,,5,5,3.0,5.0,6.0,0,1,5.0
55.0,5.5,7.0,8,8,3.0,3.0,3.0,0,0,5.8
35.0,4.0,3.0,5,5,5.0,3.0,,0,1,5.7
16.0,3.0,2.5,5,5,2.0,1.0,2.0,0,1,2.94
114.0,,4.0,5,5,,5.0,5.0,0,2,5.7
80.3,7.3,7.0,4,4,4.0,4.0,5.0,0,1,6.5
62.5,5.0,6.0,6,6,3.0,4.0,3.0,0,1,5.28
32.0,3.6,2.5,8,5,4.0,2.0,3.0,0,1,2.85
52.0,,,5,5,5.0,4.0,,0,2,7.95
35.5,,,5,5,1.0,2.0,1.0,0,1,3.32
56.7,,,5,5,3.0,3.0,3.0,0,0,5.8
37.0,3.7,3.0,7,5,,,,0,2,5.9
24.0,4.0,3.0,5,5,2.0,2.0,1.0,0,1,1.18
90.0,5.0,5.0,1,0,2.0,3.0,2.0,0,0,4.3
30.0,,,5,5,5.0,3.0,4.0,0,1,4.75
141.6,5.5,22.0,5,5,4.0,5.0,6.0,0,1,7.5
105.0,8.0,7.0,5,5,1.0,2.0,2.0,0,2,5.45
80.0,,,5,5,7.0,,,1,2,5.2
162.0,5.06,,5,3,,2.0,2.0,0,0,7.5
38.0,3.5,,5,5,6.0,3.0,5.0,0,2,8.35
23.0,3.0,10.0,5,5,1.0,1.0,1.0,2,2,4.0
30.0,3.8,,5,5,5.0,3.0,4.0,0,0,5.6
42.0,,3.0,5,5,6.0,3.0,,0,0,6.4
41.0,3.3,10.0,5,5,4.0,5.0,4.0,0,1,8.95
35.0,,,5,5,5.0,3.0,4.0,0,1,4.95
50.0,6.1,,8,5,6.0,4.0,4.0,0,1,9.8
51.0,4.1,,5,5,2.0,2.0,3.0,0,2,4.99
92.0,4.0,6.0,5,5,3.0,3.0,3.0,0,0,8.5
75.0,,6.0,5,5,4.0,5.0,4.0,0,1,8.4
64.0,5.0,13.0,8,5,5.0,,,0,2,7.4
63.0,2.2,2.2,5,5,5.0,5.0,5.0,0,2,7.2
52.0,4.0,13.0,5,5,5.0,,,0,2,6.6
42.0,,,5,5,3.0,3.0,,0,1,6.79
40.0,5.5,,5,5,5.0,3.0,4.0,0,1,7.9
40.0,4.5,,5,5,6.0,4.0,5.0,0,0,8.5
63.0,4.5,13.0,3,5,5.0,,,0,2,7.14
53.5,3.0,10.0,5,5,,,,2,2,8.9
92.0,,16.0,5,5,2.0,1.0,2.0,0,1,5.6
87.5,7.0,13.0,5,5,5.0,,,0,2,9.54
48.0,,,5,5,5.0,3.0,,0,1,5.5
48.0,4.0,4.0,8,4,2.0,2.0,2.0,2,2,1.0
50.0,4.3,2.0,5,5,2.0,2.0,2.0,0,2,4.1
50.1,4.3,2.0,5,5,2.0,2.0,2.0,0,2,4.1
50.2,4.3,2.0,5,5,2.0,2.0,2.0,0,2,4.1
50.3,4.3,2.0,5,5,2.0,2.0,2.0,0,2,4.1
70.0,5.0,,5,5,2.0,,,0,1,9.6
35.0,,,5,5,,,,0,1,7.4
55.0,3.83,7.5,6,5,3.0,,,0,2,6.8
102.0,,,5,5,3.0,3.0,3.0,0,2,6.2
280.5,10.0,11.0,8,5,1.0,2.0,2.0,2,1,5.0
50.0,4.2,,5,5,5.0,4.0,,0,2,7.86
80.0,5.0,15.0,5,5,3.0,4.0,3.0,0,0,2.0
100.0,,20.0,5,5,3.0,4.0,5.0,0,0,7.0
22.0,4.0,,5,5,4.0,3.0,,0,2,4.8
31.0,,,5,5,,4.0,,0,0,3.78
40.0,,,5,5,5.0,,,0,2,5.1
56.0,4.0,6.0,5,5,2.0,2.0,3.0,0,2,5.6
33.0,3.8,2.7,8,5,4.0,2.0,4.0,2,2,3.85
33.0,3.4,,3,5,5.0,3.0,4.0,2,2,3.4
33.0,3.8,,5,5,5.0,4.0,4.0,0,2,3.65
33.0,3.5,3.0,5,5,4.0,4.0,3.0,2,2,6.15
35.0,,,5,5,6.0,4.0,5.0,0,2,5.85
68.0,4.0,6.0,5,5,4.0,4.0,4.0,0,1,7.75
40.0,,,5,5,5.0,,,0,1,5.4
53.8,4.5,8.0,7,7,4.0,3.0,3.0,0,1,4.8
48.0,,,8,5,5.0,4.0,3.0,2,2,5.3
100.0,5.0,15.0,0,0,,,,0,2,5.7
123.0,,,5,5,5.0,,,0,2,5.45
115.0,,,5,5,,,1.0,2,2,5.5
35.0,,,5,5,5.0,5.0,,0,1,5.18
30.3,,3.0,5,5,4.0,3.0,3.0,0,2,4.68
188.0,4.0,6.0,8,8,4.0,4.0,4.0,1,2,5.85
30.0,,4.0,5,5,3.0,3.0,3.0,2,1,1.88
61.5,,3.5,1,1,4.0,5.0,3.0,0,2,4.1
136.6,8.0,,4,5,,,,0,2,8.0
44.0,,,5,5,,9.0,,0,1,7.0
75.0,,,5,5,,,,0,2,5.7
50.0,4.0,,5,5,5.0,6.0,5.0,0,2,8.5
120.0,6.0,15.0,1,1,,,,2,2,7.1
42.0,,4.0,5,5,4.0,4.0,3.0,0,1,4.0
75.0,5.0,12.0,7,7,3.0,3.0,4.0,0,1,8.3
30.0,,,5,5,4.0,4.0,,0,2,3.8
28.0,,7.0,5,5,3.0,2.0,3.0,0,1,2.15
28.0,4.0,7.0,5,5,3.0,2.0,2.0,0,1,2.15
68.0,,,5,5,2.0,3.0,3.0,0,2,1.6
72.0,4.0,5.0,7,7,2.0,3.0,2.0,0,0,3.0
37.0,3.0,2.0,3,3,4.0,3.0,3.0,0,1,5.18
120.0,7.0,5.0,8,8,2.0,3.0,2.0,0,0,7.5
85.0,,,5,5,3.0,4.0,3.0,0,2,2.7
37.0,,,5,5,6.0,,,2,1,6.2
98.0,7.0,,5,5,5.0,,,2,2,2.6
120.0,6.0,15.0,1,1,,,,0,2,7.1
92.0,5.0,13.0,8,8,3.0,3.0,3.0,0,2,4.2
32.0,,,5,5,5.0,3.0,3.0,0,0,2.55
51.0,,,5,5,,,,2,2,4.2
80.0,10.0,10.0,5,5,2.0,3.0,2.0,0,0,2.88
29.0,,,5,5,1.0,,,2,2,6.2
100.0,5.0,20.0,0,0,3.0,5.0,6.0,0,2,6.6
100.0,5.0,35.0,5,5,4.0,,,2,2,7.4
35.0,5.2,,5,5,5.0,,,2,2,7.5
90.0,4.85,8.0,7,5,2.0,4.0,2.0,0,2,4.25
85.0,,8.0,8,8,4.0,4.0,5.0,0,2,8.5
100.0,5.0,15.3,0,0,3.0,4.0,5.0,0,0,5.7
37.0,3.5,3.0,5,5,4.0,4.0,3.0,0,2,7.4
72.0,4.2,,5,5,2.0,,,2,2,6.7
113.0,,,5,5,2.0,2.0,,2,2,5.0
200.0,5.0,17.0,7,5,3.0,4.0,3.0,0,2,3.6
80.0,,10.0,5,5,1.0,4.0,4.0,0,0,6.0
92.0,4.4,,5,5,2.0,1.0,2.0,0,1,5.6
39.0,4.3,2.0,5,5,5.0,4.0,4.0,0,1,6.6
80.0,5.0,13.0,3,3,5.0,,,1,2,8.9
63.9,,,5,5,,4.0,2.0,2,2,3.8
110.0,,,1,5,3.0,4.0,5.0,0,2,9.6
47.8,,,5,5,,,,0,0,2.2
50.0,4.0,6.0,5,5,1.0,,,2,2,5.35
40.0,4.0,35.0,5,5,4.0,4.0,3.0,0,1,6.3
66.0,,,5,5,1.0,,,2,2,6.7
157.5,4.2,,5,5,1.0,2.0,1.0,0,2,9.5
182.0,7.0,40.0,5,5,1.0,3.0,1.0,0,2,2.1
62.5,7.0,10.0,8,8,,1.0,1.0,0,0,2.7
70.0,5.0,6.0,5,5,3.0,3.0,3.0,0,1,6.0
70.0,4.3,,5,5,,,,0,1,9.7
275.0,10.0,4.0,5,5,1.0,3.0,2.0,0,1,2.2
52.0,3.8,5.0,6,5,2.0,2.0,2.0,0,2,9.0
40.0,,5.0,5,5,1.0,2.0,2.0,0,1,2.3
40.0,4.0,5.0,1,1,4.0,4.0,4.0,0,1,6.0
168.0,7.0,16.0,3,3,2.0,4.0,3.0,1,2,5.11
96.7,5.0,13.0,5,5,3.0,4.0,4.0,0,1,5.2
61.2,,5.0,5,5,3.0,5.0,3.0,0,1,5.8
107.0,,,5,5,1.0,,,0,2,4.0
84.0,9.0,,5,5,1.0,1.0,1.0,0,2,3.05
43.0,,,5,5,4.0,,,2,2,6.5
61.0,4.0,,5,5,2.0,2.0,3.0,2,2,5.9
61.7,4.35,4.5,5,5,2.0,,,0,0,6.0
38.0,7.0,3.0,4,5,3.0,2.0,2.0,0,2,3.5
65.0,,,5,5,,,,0,1,9.5
25.6,3.2,3.0,8,5,3.0,3.0,3.0,0,2,3.4
85.0,5.0,4.0,8,8,2.0,6.0,5.0,0,2,6.8
75.0,5.0,5.0,5,5,2.0,2.0,2.0,0,0,3.65
37.0,,,5,5,3.0,3.0,3.0,0,2,4.5
42.0,,,5,5,5.0,3.0,4.0,0,2,4.8
85.7,5.4,7.0,2,2,1.0,3.0,3.0,0,1,8.5
42.0,,25.0,5,5,,,,2,2,6.95
45.0,,5.0,2,5,5.0,4.0,4.0,0,1,6.8
40.0,,,5,5,3.0,2.0,2.0,0,2,7.3
42.0,4.4,,5,5,5.0,4.0,4.0,2,2,4.96
70.0,,5.0,5,5,,3.0,,2,2,1.87
55.0,4.4,,5,5,6.0,4.0,4.0,2,2,6.1
40.0,3.5,,5,5,5.0,4.0,4.0,2,2,6.5
50.0,3.7,,5,5,4.0,3.0,3.0,0,1,5.5
104.0,5.0,6.0,5,5,3.0,5.0,5.0,0,1,9.6
40.0,3.97,2.2,6,6,1.0,1.0,1.0,0,0,3.0
32.0,3.4,3.0,5,5,5.0,3.0,4.0,0,0,4.5
45.0,8.7,,5,5,4.0,4.0,3.0,0,2,4.95
96.7,5.0,13.0,1,5,3.0,4.0,4.0,0,1,5.2
51.0,,3.0,5,5,4.0,3.0,3.0,0,1,5.7
58.2,6.0,6.0,5,5,5.0,3.0,4.0,0,1,8.6
100.0,5.0,13.0,5,5,3.0,4.0,4.0,2,2,3.07
40.0,,,5,5,,6.0,3.0,0,1,6.5
55.0,4.4,,5,5,6.0,4.0,3.0,0,1,6.0
30.0,3.0,8.0,2,5,2.0,4.0,3.0,0,0,2.5
217.0,15.0,12.0,8,5,3.0,4.0,3.0,2,2,5.0
60.0,4.0,3.5,5,5,,,,0,2,3.6
48.0,,,5,5,3.0,3.0,3.0,0,0,9.5
50.0,3.5,,5,5,5.0,,,0,2,5.7
62.0,,,5,5,4.0,5.0,4.0,0,1,7.6
52.0,,,5,5,2.0,2.0,,0,2,3.9
96.7,5.0,13.0,5,5,3.0,5.0,4.0,0,1,5.2
88.0,4.1,7.0,5,5,4.0,4.0,3.0,0,2,8.4
39.0,,,5,5,4.0,3.0,,0,2,5.5
35.0,4.0,4.0,6,6,1.0,2.0,2.0,0,1,2.0
251.9,7.0,5.0,5,5,2.0,4.0,2.0,0,2,5.9
51.0,4.3,8.0,5,5,3.0,3.0,3.0,0,1,4.5
52.0,42.0,,5,5,5.0,5.0,4.0,0,2,9.39
30.0,,,5,5,5.0,3.0,3.0,0,1,4.2
40.0,3.8,3.0,5,5,5.0,6.0,4.0,0,1,3.4
48.0,,,5,5,3.0,4.0,,0,2,4.8
50.0,4.5,,5,5,5.0,6.0,6.0,0,2,6.5
38.0,,,5,5,,4.0,,0,2,3.5
88.0,,12.0,5,5,3.0,,,2,2,9.0
38.0,4.0,3.0,5,5,5.0,3.0,4.0,0,1,4.9
75.0,5.0,,5,5,2.0,2.0,2.0,0,2,3.6
50.0,3.9,3.0,5,5,4.0,4.0,4.0,0,1,8.8
67.0,5.0,,5,5,,2.0,2.0,0,2,2.45
40.0,4.0,3.0,5,5,2.0,2.0,2.0,0,1,3.1
113.0,,,5,5,,,,2,2,9.34
45.0,,,5,5,5.0,,,2,2,8.2
50.8,4.0,6.0,5,5,2.0,2.0,2.0,0,1,4.35
35.0,,,5,5,5.0,3.0,4.0,0,2,4.95
48.7,5.7,,5,5,5.0,4.0,3.0,0,1,9.3
43.0,4.0,,5,5,4.0,4.0,4.0,0,2,9.5
60.0,,,5,5,3.0,,,2,2,9.0
45.0,4.5,5.0,3,5,4.0,4.0,3.0,2,2,6.2
71.0,4.3,5.0,8,5,4.0,4.0,5.0,0,2,8.4
115.0,5.0,6.0,5,5,,,,0,2,9.5
54.0,5.0,6.0,5,5,1.0,2.0,2.0,0,1,4.75
35.0,3.5,5.0,4,5,5.0,5.0,6.0,0,1,9.5
63.0,,,5,5,4.0,4.0,5.0,0,1,8.5
119.0,,,5,5,2.0,4.0,2.0,0,1,3.5
67.5,,,5,5,2.0,4.0,3.0,0,2,4.85
58.0,33.0,,5,5,5.0,3.0,,0,0,5.6
44.0,,,5,5,2.0,3.0,3.0,0,0,6.35
70.0,5.0,3.0,5,5,3.0,5.0,,0,2,8.0
108.0,,,5,5,2.0,3.0,3.0,0,1,2.8
80.0,,8.0,5,5,2.0,3.0,2.0,0,1,9.9
106.0,5.0,5.0,5,5,3.0,4.0,4.0,0,0,6.7
150.0,,,5,5,,,,0,2,1.2
71.59,4.9,38.0,7,5,2.0,2.0,3.0,0,0,4.45
48.0,4.2,5.0,5,5,4.0,4.0,4.0,0,1,6.99
100.0,5.0,12.0,1,1,2.0,2.0,2.0,2,2,1.3
35.0,5.0,5.0,5,5,1.0,3.0,2.0,2,1,1.9
73.0,5.0,8.0,6,6,2.0,3.0,1.0,0,1,3.25
62.4,,,5,5,5.0,6.0,7.0,0,1,7.6
108.0,,,5,5,2.0,4.0,2.0,0,1,3.2
62.3,4.7,5.0,5,5,4.0,4.0,5.0,0,1,8.0
108.0,,,5,5,2.0,4.0,2.0,0,2,3.2
24.0,3.0,4.0,3,5,5.0,3.0,3.0,0,2,4.99
32.0,3.0,3.0,2,2,5.0,3.0,4.0,0,0,3.2
100.0,5.0,3.0,5,5,1.0,2.0,2.0,0,2,10.0
100.0,5.0,12.0,5,5,2.0,,,2,2,8.2
20.4,3.0,3.5,3,5,4.0,2.0,3.0,0,2,4.85
63.0,,,5,5,,4.0,,0,2,5.0
28.0,5.0,,5,5,5.0,3.0,4.0,0,2,4.8
108.8,,,5,5,3.0,4.0,4.0,1,2,4.2
53.0,11.0,,5,5,5.0,4.0,5.0,0,1,8.9
60.0,,,2,5,4.0,6.0,6.0,0,1,7.8
55.0,4.1,6.0,5,5,4.0,4.0,5.0,0,1,9.8
55.0,4.0,,5,5,5.0,4.0,4.0,0,2,7.5
251.0,10.0,8.0,5,5,3.0,4.0,2.0,0,2,9.9
26.0,4.0,20.0,5,5,5.0,3.0,3.0,0,1,9.0
100.0,,,8,5,3.0,3.0,3.0,0,2,5.9
171.0,4.0,7.0,4,5,4.0,6.0,5.0,0,0,6.1
68.0,4.0,6.0,5,5,3.0,4.0,4.0,0,0,6.5
100.0,5.0,10.5,4,5,3.0,3.0,3.0,0,2,7.5
120.0,,,5,5,,,,0,1,6.85
100.0,5.0,7.5,4,5,3.0,3.0,3.0,0,1,6.2
48.0,3.5,6.0,7,5,1.0,2.0,2.0,0,0,3.65
156.0,,,5,5,2.0,4.0,3.0,0,1,9.8
55.0,3.8,,5,5,3.0,3.0,3.0,0,2,9.5
